feature,importance
atr_14,0.0284494967199862
body,0.02875339554157108
ema_12,0.028531690128147602
ema_26,0.029155276948586106
ema_diff,0.02846695017069578
log_returns,0.029716450604610145
lower_wick,0.029481285833753645
momentum_10,0.028883954510092735
range,0.02921552036423236
returns,0.02964005374815315
roc_5,0.0290222626645118
rsi_14,0.029297578032128513
sma_20,0.02858199179172516
sma_5,0.029463257757015526
upper_wick,0.030207801144570112
volatility,0.028916885145008564
volatility_20,0.028342186007648706
volume,0.027981266961432993
volume_change,0.031041268492117524
volume_zscore_20,0.029585842625238
