feature,importance
atr_14,0.02861706237308681
body,0.029318975401110947
ema_12,0.029539966257289052
ema_26,0.028410503175109625
ema_diff,0.02868570212740451
log_returns,0.027889527729712427
lower_wick,0.02767792413942516
momentum_10,0.02841830812394619
range,0.029511898872442544
returns,0.027771516237407923
roc_5,0.027340256609022617
rsi_14,0.028451461577787995
sma_20,0.028097901260480285
sma_5,0.027859370224177837
upper_wick,0.028432803112082183
volatility,0.028515024692751467
volatility_20,0.028290472575463355
volume,0.028472345555201173
volume_change,0.02790191292297095
volume_zscore_20,0.028347944957204163
