net.0.weight,net.2.weight,net.4.weight
4.640167713165283,4.499702453613281,0.7953981161117554
4.659191608428955,4.4509077072143555,0.8174111247062683
4.686688423156738,4.428606986999512,0.8458504676818848
4.725403308868408,4.429018974304199,0.8789939880371094
4.765343189239502,4.439250946044922,0.9135138988494873
4.816534519195557,4.466861724853516,0.958954393863678
4.87555456161499,4.510761260986328,1.0151987075805664
4.94086217880249,4.563913822174072,1.0723748207092285
5.010150909423828,4.628808498382568,1.1359307765960693
5.080821990966797,4.701671123504639,1.2016329765319824
5.159478664398193,4.78499698638916,1.282297968864441
