feature,lag,importance
returns,31,0.03243781998753548
log_returns,31,0.033676013350486755
volatility,31,0.037574708461761475
range,31,0.03624016419053078
volume,31,0.030809717252850533
ema_diff,31,0.03345130383968353
rsi_14,31,0.035016242414712906
returns,30,0.03329147771000862
log_returns,30,0.032205719500780106
volatility,30,0.03441282734274864
range,30,0.03325555473566055
volume,30,0.035290077328681946
ema_diff,30,0.03403788432478905
rsi_14,30,0.03398091346025467
returns,29,0.0349535308778286
log_returns,29,0.03498438000679016
volatility,29,0.03494621813297272
range,29,0.03191439434885979
volume,29,0.03127891942858696
ema_diff,29,0.035523612052202225
rsi_14,29,0.03517948463559151
returns,28,0.03590058162808418
log_returns,28,0.033357925713062286
volatility,28,0.03616764396429062
range,28,0.03247116133570671
volume,28,0.03433236479759216
ema_diff,28,0.031738173216581345
rsi_14,28,0.03549639880657196
returns,27,0.031183434650301933
log_returns,27,0.0319073349237442
volatility,27,0.03173205628991127
range,27,0.03286947309970856
volume,27,0.033933959901332855
ema_diff,27,0.0349760465323925
rsi_14,27,0.03378439322113991
returns,26,0.03571244329214096
log_returns,26,0.03258407115936279
volatility,26,0.030252519994974136
range,26,0.032690901309251785
volume,26,0.03623682260513306
ema_diff,26,0.0332416333258152
rsi_14,26,0.03188183903694153
returns,25,0.03158563748002052
log_returns,25,0.034241724759340286
volatility,25,0.03339499980211258
range,25,0.03575246408581734
volume,25,0.03643745556473732
ema_diff,25,0.03316297009587288
rsi_14,25,0.036716628819704056
returns,24,0.03399618715047836
log_returns,24,0.03392700105905533
volatility,24,0.0355924554169178
range,24,0.03154700621962547
volume,24,0.03470039740204811
ema_diff,24,0.034563008695840836
rsi_14,24,0.033884111791849136
returns,23,0.035625308752059937
log_returns,23,0.03565134108066559
volatility,23,0.03480112925171852
range,23,0.03329623118042946
volume,23,0.03577466309070587
ema_diff,23,0.03263626620173454
rsi_14,23,0.03318110480904579
returns,22,0.035808440297842026
log_returns,22,0.036479491740465164
volatility,22,0.0355413518846035
range,22,0.036021050065755844
volume,22,0.033106740564107895
ema_diff,22,0.035424333065748215
rsi_14,22,0.031819723546504974
returns,21,0.03313721343874931
log_returns,21,0.03326842933893204
volatility,21,0.03409590199589729
range,21,0.033803924918174744
volume,21,0.03284401074051857
ema_diff,21,0.03237991780042648
rsi_14,21,0.035180773586034775
returns,20,0.03489508479833603
log_returns,20,0.03633001446723938
volatility,20,0.03485211730003357
range,20,0.032437145709991455
volume,20,0.031471431255340576
ema_diff,20,0.03409544378519058
rsi_14,20,0.03534567356109619
returns,19,0.03518601134419441
log_returns,19,0.031150775030255318
volatility,19,0.034019604325294495
range,19,0.034576479345560074
volume,19,0.03464995324611664
ema_diff,19,0.036432307213544846
rsi_14,19,0.03223814070224762
returns,18,0.03242411091923714
log_returns,18,0.03367640823125839
volatility,18,0.029680026695132256
range,18,0.03355785459280014
volume,18,0.032909270375967026
