feature,lag,importance
returns,31,0.039293453097343445
log_returns,31,0.03541739657521248
volatility,31,0.028780583292245865
range,31,0.03652902692556381
volume,31,0.030809927731752396
ema_diff,31,0.03336513042449951
rsi_14,31,0.03838752955198288
returns,30,0.03772120550274849
log_returns,30,0.03182550519704819
volatility,30,0.03198772668838501
range,30,0.04028480499982834
volume,30,0.027865130454301834
ema_diff,30,0.032322078943252563
rsi_14,30,0.034954242408275604
returns,29,0.037063583731651306
log_returns,29,0.0317528173327446
volatility,29,0.037347324192523956
range,29,0.03488638252019882
volume,29,0.030647849664092064
ema_diff,29,0.031147407367825508
rsi_14,29,0.032574448734521866
returns,28,0.030314236879348755
log_returns,28,0.03484058752655983
volatility,28,0.03482867777347565
range,28,0.032086290419101715
volume,28,0.031248224899172783
ema_diff,28,0.034859947860240936
rsi_14,28,0.03292159363627434
returns,27,0.03083346039056778
log_returns,27,0.03513704985380173
volatility,27,0.031320370733737946
range,27,0.03356851264834404
volume,27,0.03378070890903473
ema_diff,27,0.030399268493056297
rsi_14,27,0.03413325920701027
returns,26,0.03614053130149841
log_returns,26,0.035254549235105515
volatility,26,0.03602870553731918
range,26,0.02893069200217724
volume,26,0.03164194896817207
ema_diff,26,0.03393416106700897
rsi_14,26,0.036179594695568085
returns,25,0.03386145457625389
log_returns,25,0.03548859804868698
volatility,25,0.032140180468559265
range,25,0.03395428881049156
volume,25,0.033149536699056625
ema_diff,25,0.031004298478364944
rsi_14,25,0.03165040537714958
returns,24,0.03328356146812439
log_returns,24,0.034699346870183945
volatility,24,0.031769637018442154
range,24,0.03235147148370743
volume,24,0.03803088143467903
ema_diff,24,0.03330536559224129
rsi_14,24,0.03498319536447525
returns,23,0.035107944160699844
log_returns,23,0.03037300892174244
volatility,23,0.03281538560986519
range,23,0.03713603317737579
volume,23,0.03369005769491196
ema_diff,23,0.034595996141433716
rsi_14,23,0.03320789337158203
returns,22,0.0341937355697155
log_returns,22,0.032637592405080795
volatility,22,0.03550175949931145
range,22,0.035769008100032806
volume,22,0.03493236377835274
ema_diff,22,0.03412634879350662
rsi_14,22,0.031227534636855125
returns,21,0.03670380637049675
log_returns,21,0.033024244010448456
volatility,21,0.031473308801651
range,21,0.03557746484875679
volume,21,0.028053993359208107
ema_diff,21,0.03534337133169174
rsi_14,21,0.03432873263955116
returns,20,0.03907928243279457
log_returns,20,0.03239084780216217
volatility,20,0.03140902891755104
range,20,0.033362336456775665
volume,20,0.03167884424328804
ema_diff,20,0.03506918624043465
rsi_14,20,0.03326821327209473
returns,19,0.03425642475485802
log_returns,19,0.03455450013279915
volatility,19,0.03374573960900307
range,19,0.030132504180073738
volume,19,0.03722047060728073
ema_diff,19,0.03368180990219116
rsi_14,19,0.031578756868839264
returns,18,0.029800578951835632
log_returns,18,0.03305031731724739
volatility,18,0.03720753639936447
range,18,0.03267171233892441
volume,18,0.032628342509269714
ema_diff,18,0.033745381981134415
rsi_14,18,0.030272966250777245
returns,17,0.03084585629403591
log_returns,17,0.034671105444431305
volatility,17,0.034383904188871384
range,17,0.030731122940778732
volume,17,0.030624007806181908
ema_diff,17,0.03492181748151779
rsi_14,17,0.03237978368997574
returns,16,0.03137093409895897
log_returns,16,0.030832672491669655
volatility,16,0.02957780472934246
range,16,0.031023874878883362
volume,16,0.03849522024393082
ema_diff,16,0.03605281561613083
rsi_14,16,0.03287248685956001
returns,15,0.030935276299715042
log_returns,15,0.029370376840233803
volatility,15,0.032356683164834976
range,15,0.03488731011748314
volume,15,0.03176163509488106
ema_diff,15,0.030820583924651146
rsi_14,15,0.03125299885869026
returns,14,0.03634648025035858
log_returns,14,0.03557507321238518
volatility,14,0.036780864000320435
range,14,0.0327448770403862
volume,14,0.03151194751262665
ema_diff,14,0.035829056054353714
rsi_14,14,0.03148939460515976
returns,13,0.03718618303537369
log_returns,13,0.033270884305238724
volatility,13,0.029296059161424637
range,13,0.033655039966106415
volume,13,0.034431956708431244
ema_diff,13,0.03130966052412987
rsi_14,13,0.036572396755218506
returns,12,0.033242348581552505
log_returns,12,0.0377931073307991
volatility,12,0.03277068957686424
range,12,0.034927718341350555
volume,12,0.03534833341836929
ema_diff,12,0.035558417439460754
rsi_14,12,0.03505438193678856
returns,11,0.034052278846502304
log_returns,11,0.031192433089017868
volatility,11,0.035219673067331314
range,11,0.035079360008239746
volume,11,0.03312519192695618
ema_diff,11,0.034631986171007156
rsi_14,11,0.035025496035814285
returns,10,0.0331026092171669
log_returns,10,0.035969655960798264
volatility,10,0.032968778163194656
range,10,0.0345410592854023
volume,10,0.02965511381626129
ema_diff,10,0.02929239720106125
rsi_14,10,0.03247823193669319
returns,9,0.03583785891532898
log_returns,9,0.0366828627884388
volatility,9,0.03184857591986656
range,9,0.03739522024989128
volume,9,0.03506205603480339
ema_diff,9,0.03136250376701355
rsi_14,9,0.029588982462882996
returns,8,0.03292962908744812
log_returns,8,0.03523165360093117
volatility,8,0.034280139952898026
range,8,0.03448351100087166
volume,8,0.031052811071276665
ema_diff,8,0.03392096608877182
rsi_14,8,0.04084432125091553
returns,7,0.032668665051460266
log_returns,7,0.032631419599056244
volatility,7,0.03394215181469917
range,7,0.03474047780036926
volume,7,0.03482561558485031
ema_diff,7,0.03453953564167023
rsi_14,7,0.03432471305131912
returns,6,0.038558825850486755
log_returns,6,0.030024303123354912
volatility,6,0.031675051897764206
range,6,0.03235534578561783
volume,6,0.03890318423509598
ema_diff,6,0.03363471478223801
rsi_14,6,0.028173979371786118
returns,5,0.032491181045770645
log_returns,5,0.03362112119793892
volatility,5,0.03204132243990898
range,5,0.03303200751543045
volume,5,0.03530890867114067
ema_diff,5,0.02999003790318966
rsi_14,5,0.032999444752931595
returns,4,0.03383491933345795
log_returns,4,0.03593447059392929
volatility,4,0.03532452508807182
range,4,0.03436063230037689
volume,4,0.03407217934727669
ema_diff,4,0.03702426329255104
rsi_14,4,0.026362625882029533
returns,3,0.034330084919929504
log_returns,3,0.0352189764380455
volatility,3,0.030205629765987396
range,3,0.0363323949277401
volume,3,0.03026716411113739
ema_diff,3,0.034610603004693985
rsi_14,3,0.03304707631468773
returns,2,0.03404863178730011
log_returns,2,0.035548366606235504
volatility,2,0.03435182571411133
range,2,0.03211912140250206
volume,2,0.03357846662402153
ema_diff,2,0.029818095266819
rsi_14,2,0.03144906833767891
returns,1,0.03616222366690636
log_returns,1,0.03470397740602493
volatility,1,0.03214330971240997
range,1,0.03756367415189743
volume,1,0.03647945821285248
ema_diff,1,0.03160250931978226
rsi_14,1,0.038923170417547226
returns,0,0.03253317251801491
log_returns,0,0.035725582391023636
volatility,0,0.03014134056866169
range,0,0.03482138365507126
volume,0,0.03343568369746208
ema_diff,0,0.03267195075750351
rsi_14,0,0.033515579998493195
