feature,lag,importance
returns,31,0.038905974477529526
log_returns,31,0.03407537192106247
volatility,31,0.029573099687695503
volatility_20,31,0.03743157163262367
range,31,0.03191467002034187
volume_zscore_20,31,0.03342321142554283
atr_14,31,0.03884834051132202
returns,30,0.03890130668878555
log_returns,30,0.03163554146885872
volatility,30,0.03175748139619827
volatility_20,30,0.04051708057522774
range,30,0.02728285826742649
volume_zscore_20,30,0.03386678174138069
atr_14,30,0.03547488898038864
returns,29,0.03782081604003906
log_returns,29,0.03232913091778755
volatility,29,0.03744085133075714
volatility_20,29,0.03421394154429436
range,29,0.02960802987217903
volume_zscore_20,29,0.030312787741422653
atr_14,29,0.031934402883052826
returns,28,0.03102373145520687
log_returns,28,0.03490587696433067
volatility,28,0.034932393580675125
volatility_20,28,0.031658608466386795
range,28,0.03233969211578369
volume_zscore_20,28,0.031908679753541946
atr_14,28,0.0350373350083828
returns,27,0.031211789697408676
log_returns,27,0.03584020584821701
volatility,27,0.031062457710504532
volatility_20,27,0.03303467854857445
range,27,0.0337628535926342
volume_zscore_20,27,0.028616510331630707
atr_14,27,0.03576228395104408
returns,26,0.03468291833996773
log_returns,26,0.035351142287254333
volatility,26,0.03730905428528786
volatility_20,26,0.029268864542245865
range,26,0.03115852177143097
volume_zscore_20,26,0.03486733138561249
atr_14,26,0.03529739752411842
returns,25,0.03493994474411011
log_returns,25,0.03548995777964592
volatility,25,0.03258904069662094
volatility_20,25,0.03505009785294533
range,25,0.03331885486841202
volume_zscore_20,25,0.03117070160806179
atr_14,25,0.03361842408776283
returns,24,0.03476986289024353
log_returns,24,0.035038866102695465
volatility,24,0.03153536096215248
volatility_20,24,0.032172203063964844
range,24,0.038389142602682114
volume_zscore_20,24,0.03455633297562599
atr_14,24,0.035369448363780975
returns,23,0.035978563129901886
log_returns,23,0.030698539689183235
volatility,23,0.031710006296634674
volatility_20,23,0.03782409802079201
range,23,0.03200807422399521
volume_zscore_20,23,0.034537363797426224
atr_14,23,0.034264761954545975
returns,22,0.033253856003284454
log_returns,22,0.0312481839209795
volatility,22,0.03631119802594185
volatility_20,22,0.03692018985748291
range,22,0.03619327023625374
volume_zscore_20,22,0.03444746136665344
