feature,importance
atr_14,0.027978336671367288
body,0.028028819826431572
ema_12,0.028624677332118154
ema_26,0.029243923723697662
ema_diff,0.027947904891334474
log_returns,0.027469191001728177
lower_wick,0.028749575139954686
momentum_10,0.028502876637503505
range,0.02764456265140325
returns,0.028782078181393445
roc_5,0.028142067603766918
rsi_14,0.02887747250497341
sma_20,0.028244799003005028
sma_5,0.028761970694176853
upper_wick,0.02898983028717339
volatility,0.028561251237988472
volatility_20,0.02852384396828711
volume,0.027937511913478374
volume_change,0.029074645484797657
volume_zscore_20,0.02826109412126243
