feature,lag,importance
returns,31,0.03419429436326027
log_returns,31,0.03304265812039375
volatility,31,0.02938498929142952
range,31,0.03592759370803833
volume,31,0.0330820232629776
ema_diff,31,0.03225940465927124
rsi_14,31,0.03586655110120773
returns,30,0.036027174443006516
log_returns,30,0.03160644695162773
volatility,30,0.033599842339754105
range,30,0.03518987074494362
volume,30,0.028904415667057037
ema_diff,30,0.031676776707172394
rsi_14,30,0.032444871962070465
returns,29,0.035286422818899155
log_returns,29,0.03016267903149128
volatility,29,0.03583091124892235
range,29,0.033955466002225876
volume,29,0.03352964296936989
ema_diff,29,0.03146224468946457
rsi_14,29,0.034153278917074203
returns,28,0.03134801611304283
log_returns,28,0.03700587898492813
volatility,28,0.03691273555159569
range,28,0.0347927063703537
volume,28,0.03130031377077103
ema_diff,28,0.032939326018095016
rsi_14,28,0.03332742303609848
returns,27,0.03367898240685463
log_returns,27,0.033739883452653885
volatility,27,0.03279166296124458
range,27,0.03271440416574478
volume,27,0.034499481320381165
ema_diff,27,0.029747482389211655
rsi_14,27,0.036044903099536896
returns,26,0.0353165902197361
log_returns,26,0.03595201298594475
volatility,26,0.03629877418279648
range,26,0.032325733453035355
volume,26,0.03339295834302902
ema_diff,26,0.03601694479584694
rsi_14,26,0.03417827561497688
returns,25,0.037508051842451096
log_returns,25,0.03537321463227272
volatility,25,0.03184153512120247
range,25,0.0344795361161232
volume,25,0.03325483947992325
ema_diff,25,0.03178447484970093
rsi_14,25,0.033770132809877396
returns,24,0.03167546167969704
log_returns,24,0.035033900290727615
volatility,24,0.03306439891457558
range,24,0.03489453345537186
volume,24,0.036883171647787094
ema_diff,24,0.033696893602609634
rsi_14,24,0.03653813898563385
returns,23,0.03638292849063873
log_returns,23,0.03137478604912758
volatility,23,0.031373683363199234
range,23,0.035792768001556396
volume,23,0.032614581286907196
ema_diff,23,0.037187136709690094
rsi_14,23,0.03466994687914848
returns,22,0.03391871601343155
log_returns,22,0.03301505371928215
volatility,22,0.03425702452659607
range,22,0.03240819647908211
volume,22,0.037121787667274475
ema_diff,22,0.03553839027881622
rsi_14,22,0.030772829428315163
returns,21,0.036537908017635345
log_returns,21,0.034898508340120316
volatility,21,0.03266603872179985
range,21,0.032671716064214706
volume,21,0.032265257090330124
ema_diff,21,0.03558412194252014
rsi_14,21,0.03381754085421562
returns,20,0.035322170704603195
log_returns,20,0.032551199197769165
volatility,20,0.033440135419368744
range,20,0.03406829014420509
volume,20,0.032191354781389236
ema_diff,20,0.03563181683421135
rsi_14,20,0.031599462032318115
returns,19,0.03435693681240082
log_returns,19,0.0358274020254612
volatility,19,0.033661115914583206
range,19,0.03296587988734245
volume,19,0.03533092886209488
ema_diff,19,0.03144167363643646
rsi_14,19,0.03284589573740959
returns,18,0.03314357250928879
log_returns,18,0.03489503636956215
volatility,18,0.035368092358112335
range,18,0.03420083224773407
volume,18,0.033057257533073425
ema_diff,18,0.032676488161087036
rsi_14,18,0.03179119899868965
returns,17,0.03479623794555664
log_returns,17,0.0343717597424984
volatility,17,0.03299350664019585
range,17,0.03284788876771927
volume,17,0.03322345018386841
ema_diff,17,0.034626759588718414
rsi_14,17,0.0316305048763752
returns,16,0.031605686992406845
log_returns,16,0.035961296409368515
volatility,16,0.033495329320430756
range,16,0.03440588340163231
volume,16,0.03307235985994339
ema_diff,16,0.034278109669685364
rsi_14,16,0.03258344158530235
returns,15,0.03194175288081169
log_returns,15,0.03035646863281727
volatility,15,0.033861517906188965
range,15,0.03295062109827995
volume,15,0.0349017009139061
ema_diff,15,0.03316904231905937
rsi_14,15,0.03171646222472191
returns,14,0.03623395413160324
log_returns,14,0.03523358330130577
volatility,14,0.03479355573654175
range,14,0.03259887918829918
volume,14,0.03306618332862854
ema_diff,14,0.033291712403297424
rsi_14,14,0.030653757974505424
returns,13,0.03708190843462944
log_returns,13,0.03245760500431061
volatility,13,0.0324782058596611
range,13,0.035648446530103683
volume,13,0.033465683460235596
ema_diff,13,0.03336158022284508
rsi_14,13,0.03555522486567497
returns,12,0.03522643819451332
log_returns,12,0.03711410611867905
volatility,12,0.03457879647612572
