feature,lag,importance
returns,31,0.03146490454673767
log_returns,31,0.034687407314777374
volatility,31,0.031237240880727768
range,31,0.036766599863767624
volume,31,0.031136486679315567
ema_diff,31,0.03315546363592148
rsi_14,31,0.03417876735329628
returns,30,0.03247673436999321
log_returns,30,0.03547241538763046
volatility,30,0.0325331948697567
range,30,0.03647829592227936
volume,30,0.03098251111805439
ema_diff,30,0.037072017788887024
rsi_14,30,0.03463394194841385
returns,29,0.0359962098300457
log_returns,29,0.03726663067936897
volatility,29,0.03279773145914078
range,29,0.03470996022224426
volume,29,0.03128158673644066
ema_diff,29,0.030922867357730865
rsi_14,29,0.03560289740562439
returns,28,0.03165261447429657
log_returns,28,0.03388573229312897
volatility,28,0.03692082315683365
range,28,0.03210978955030441
volume,28,0.03180871531367302
ema_diff,28,0.03673023357987404
rsi_14,28,0.03186623752117157
returns,27,0.032585758715867996
log_returns,27,0.030760617926716805
volatility,27,0.03286070376634598
range,27,0.033065155148506165
volume,27,0.03300369903445244
ema_diff,27,0.028834998607635498
rsi_14,27,0.03170974552631378
returns,26,0.03394065052270889
log_returns,26,0.031575046479701996
volatility,26,0.03378261625766754
range,26,0.035755254328250885
volume,26,0.033176347613334656
ema_diff,26,0.03236496075987816
rsi_14,26,0.03224862739443779
returns,25,0.03316352516412735
log_returns,25,0.034920766949653625
volatility,25,0.03455302491784096
range,25,0.02932915650308132
volume,25,0.029574178159236908
ema_diff,25,0.032637279480695724
rsi_14,25,0.0331406332552433
returns,24,0.03143816813826561
log_returns,24,0.031224969774484634
volatility,24,0.03699583187699318
range,24,0.034413617104291916
volume,24,0.033109039068222046
ema_diff,24,0.03132392466068268
rsi_14,24,0.03661585971713066
returns,23,0.034757811576128006
log_returns,23,0.030938303098082542
volatility,23,0.03317684307694435
range,23,0.034551747143268585
volume,23,0.03499533608555794
ema_diff,23,0.03323061764240265
rsi_14,23,0.033166371285915375
returns,22,0.036082178354263306
log_returns,22,0.033161114901304245
volatility,22,0.0299203060567379
range,22,0.031989019364118576
volume,22,0.029229674488306046
ema_diff,22,0.03220294788479805
rsi_14,22,0.02781120501458645
returns,21,0.033676549792289734
log_returns,21,0.03198426216840744
volatility,21,0.033233121037483215
range,21,0.031175464391708374
volume,21,0.034574709832668304
ema_diff,21,0.04033412039279938
rsi_14,21,0.03531327471137047
returns,20,0.03235332667827606
log_returns,20,0.03095637448132038
volatility,20,0.031233273446559906
range,20,0.038015130907297134
volume,20,0.03283701837062836
ema_diff,20,0.036609381437301636
rsi_14,20,0.03136729076504707
returns,19,0.03357775881886482
log_returns,19,0.029997162520885468
volatility,19,0.03492918610572815
range,19,0.03349458426237106
volume,19,0.038622986525297165
ema_diff,19,0.03303558751940727
rsi_14,19,0.03339464217424393
returns,18,0.03327958285808563
log_returns,18,0.03530386462807655
volatility,18,0.03442647308111191
range,18,0.03556525334715843
volume,18,0.031208841130137444
ema_diff,18,0.03151920065283775
rsi_14,18,0.0365905798971653
returns,17,0.03256206214427948
log_returns,17,0.03169349953532219
volatility,17,0.03305935487151146
range,17,0.029401782900094986
volume,17,0.03146287798881531
ema_diff,17,0.03170439973473549
rsi_14,17,0.0389975979924202
returns,16,0.03415422514081001
log_returns,16,0.03454432263970375
volatility,16,0.034027863293886185
range,16,0.03300539404153824
volume,16,0.028133822605013847
ema_diff,16,0.03152473270893097
rsi_14,16,0.03421053662896156
returns,15,0.03340193256735802
log_returns,15,0.036954086273908615
volatility,15,0.035537075251340866
range,15,0.03309965133666992
volume,15,0.03404569625854492
ema_diff,15,0.03042902983725071
rsi_14,15,0.031804442405700684
returns,14,0.03816372528672218
log_returns,14,0.033740557730197906
volatility,14,0.029666638001799583
range,14,0.033779267221689224
volume,14,0.031020430848002434
ema_diff,14,0.03179263696074486
rsi_14,14,0.03014741837978363
returns,13,0.036314815282821655
log_returns,13,0.03632291778922081
volatility,13,0.034342046827077866
range,13,0.030955888330936432
volume,13,0.03130871057510376
ema_diff,13,0.03385788947343826
rsi_14,13,0.03445719555020332
returns,12,0.03182085603475571
log_returns,12,0.03307027742266655
volatility,12,0.03451506048440933
range,12,0.03569876775145531
volume,12,0.033327531069517136
ema_diff,12,0.03330773860216141
rsi_14,12,0.03341014310717583
returns,11,0.03396507725119591
log_returns,11,0.03466338291764259
volatility,11,0.03431200981140137
range,11,0.0346890427172184
volume,11,0.036126069724559784
ema_diff,11,0.03008655458688736
rsi_14,11,0.03406136855483055
returns,10,0.03243649750947952
log_returns,10,0.03491182625293732
volatility,10,0.03321755304932594
range,10,0.03426993638277054
volume,10,0.032932572066783905
ema_diff,10,0.030988240614533424
rsi_14,10,0.03171892836689949
returns,9,0.03420552238821983
log_returns,9,0.03127182647585869
volatility,9,0.03373384848237038
range,9,0.030212484300136566
volume,9,0.03858885169029236
ema_diff,9,0.03710636869072914
rsi_14,9,0.033159732818603516
returns,8,0.029733652248978615
log_returns,8,0.03235730156302452
volatility,8,0.03538605570793152
range,8,0.03010677359998226
volume,8,0.0336214043200016
ema_diff,8,0.03519761189818382
rsi_14,8,0.03408088535070419
returns,7,0.036005619913339615
log_returns,7,0.03477020934224129
volatility,7,0.03637285158038139
range,7,0.038110777735710144
volume,7,0.032058387994766235
ema_diff,7,0.030270906165242195
rsi_14,7,0.032316654920578
returns,6,0.03566480055451393
log_returns,6,0.03163154423236847
volatility,6,0.030952008441090584
range,6,0.03651837259531021
volume,6,0.03297644108533859
ema_diff,6,0.031435832381248474
rsi_14,6,0.03716564178466797
returns,5,0.03184941038489342
log_returns,5,0.03388500586152077
volatility,5,0.03571154922246933
range,5,0.034002453088760376
volume,5,0.033893708139657974
ema_diff,5,0.035187676548957825
rsi_14,5,0.029642926529049873
returns,4,0.03521157428622246
log_returns,4,0.03440527990460396
volatility,4,0.034223683178424835
range,4,0.03339254483580589
volume,4,0.03275930508971214
ema_diff,4,0.03628132864832878
rsi_14,4,0.030433638021349907
returns,3,0.03208310902118683
log_returns,3,0.029793914407491684
volatility,3,0.03335270285606384
range,3,0.03490366414189339
volume,3,0.029659658670425415
ema_diff,3,0.03524966537952423
rsi_14,3,0.034504033625125885
returns,2,0.03159172832965851
log_returns,2,0.03444773331284523
volatility,2,0.03135569021105766
range,2,0.03148701786994934
volume,2,0.03821781650185585
ema_diff,2,0.03354905545711517
rsi_14,2,0.03469022363424301
returns,1,0.03667319566011429
log_returns,1,0.033302947878837585
volatility,1,0.03061492368578911
range,1,0.03333565965294838
volume,1,0.03596322983503342
ema_diff,1,0.029898211359977722
rsi_14,1,0.03864532336592674
returns,0,0.035529229789972305
log_returns,0,0.03572487458586693
volatility,0,0.03256786987185478
range,0,0.031145205721259117
volume,0,0.029615415260195732
ema_diff,0,0.03389228880405426
rsi_14,0,0.032635148614645004
