threshold,delta_min,hold_rate,action_rate,action_accuracy_non_hold,conflict_rate,precision_up,precision_down,score
0.45,0.02,0.14102564102564102,0.8589743589743589,0.5382462686567164,0.7219551282051282,0.5353053435114504,0.6666666666666666,0.12855119473208415
0.46,0.02,0.14262820512820512,0.8573717948717948,0.5373831775700935,0.5889423076923077,0.5344168260038241,0.6666666666666666,0.189389561760355
0.47000000000000003,0.02,0.14342948717948717,0.8565705128205128,0.5378858746492049,0.42948717948717946,0.5349282296650718,0.6666666666666666,0.2628564677843524
0.48000000000000004,0.02,0.14423076923076922,0.8557692307692307,0.5374531835205992,0.25080128205128205,0.5344827586206896,0.6666666666666666,0.3445833846975674
0.49000000000000005,0.02,0.14743589743589744,0.8525641025641025,0.5357142857142857,0.10977564102564102,0.5340364333652924,0.6190476190476191,0.40659285626232744
0.5,0.02,0.16666666666666666,0.8333333333333334,0.5384615384615384,0.023237179487179488,0.5371819960861057,0.6111111111111112,0.4382910092044707
0.51,0.02,0.25721153846153844,0.7427884615384616,0.5415318230852212,0.004807692307692308,0.5430752453653217,0.4,0.400309726331361
0.52,0.02,0.453525641025641,0.5464743589743589,0.5615835777126099,0.003205128205128205,0.5617647058823529,0.5,0.30590740055884286
0.53,0.02,0.625801282051282,0.37419871794871795,0.5717344753747323,0.0016025641025641025,0.5708154506437768,1.0,0.21359945142998027
0.54,0.02,0.7532051282051282,0.2467948717948718,0.5876623376623377,0.0,0.5876623376623377,0.0,0.1450320512820513
0.55,0.02,0.8301282051282052,0.16987179487179488,0.5943396226415094,0.0,0.5943396226415094,0.0,0.10096153846153846
0.56,0.02,0.8838141025641025,0.11618589743589744,0.5862068965517241,0.0,0.5862068965517241,0.0,0.06810897435897435
0.5700000000000001,0.02,0.9174679487179487,0.08253205128205128,0.5922330097087378,0.0,0.5922330097087378,0.0,0.04887820512820512
0.5800000000000001,0.02,0.9463141025641025,0.05368589743589743,0.582089552238806,0.0,0.582089552238806,0.0,0.03125
0.5900000000000001,0.02,0.967948717948718,0.03205128205128205,0.65,0.0,0.65,0.0,0.020833333333333332
0.6000000000000001,0.02,0.9759615384615384,0.02403846153846154,0.6333333333333333,0.0,0.6333333333333333,0.0,0.015224358974358974
0.6100000000000001,0.02,0.9847756410256411,0.015224358974358974,0.6842105263157895,0.0,0.6842105263157895,0.0,0.010416666666666666
0.6200000000000001,0.02,0.9879807692307693,0.01201923076923077,0.6666666666666666,0.0,0.6666666666666666,0.0,0.008012820512820512
0.6300000000000001,0.02,0.9895833333333334,0.010416666666666666,0.6923076923076923,0.0,0.6923076923076923,0.0,0.007211538461538461
0.6400000000000001,0.02,0.9911858974358975,0.008814102564102564,0.7272727272727273,0.0,0.7272727272727273,0.0,0.00641025641025641
0.6500000000000001,0.02,0.9943910256410257,0.005608974358974359,0.5714285714285714,0.0,0.5714285714285714,0.0,0.003205128205128205
0.6600000000000001,0.02,0.9967948717948718,0.003205128205128205,1.0,0.0,1.0,0.0,0.003205128205128205
0.6700000000000002,0.02,0.9975961538461539,0.002403846153846154,1.0,0.0,1.0,0.0,0.002403846153846154
0.6800000000000002,0.02,0.999198717948718,0.0008012820512820513,1.0,0.0,1.0,0.0,0.0008012820512820513
0.6900000000000002,0.02,0.999198717948718,0.0008012820512820513,1.0,0.0,1.0,0.0,0.0008012820512820513
0.7000000000000002,0.02,0.999198717948718,0.0008012820512820513,1.0,0.0,1.0,0.0,0.0008012820512820513
0.7100000000000002,0.02,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0.7200000000000002,0.02,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0.7300000000000002,0.02,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0.7400000000000002,0.02,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0.7500000000000002,0.02,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0.45,0.04,0.31971153846153844,0.6802884615384616,0.5571260306242638,0.7219551282051282,0.5558194774346793,0.7142857142857143,0.10538078874917817
0.46,0.04,0.32051282051282054,0.6794871794871795,0.5566037735849056,0.5889423076923077,0.5552913198573127,0.7142857142857143,0.1554641272189349
0.47000000000000003,0.04,0.3213141025641026,0.6786858974358975,0.5572609208972845,0.42948717948717946,0.555952380952381,0.7142857142857143,0.21577087442472057
0.48000000000000004,0.04,0.3213141025641026,0.6786858974358975,0.5572609208972845,0.25080128205128205,0.555952380952381,0.7142857142857143,0.28335079717291256
0.49000000000000005,0.04,0.32211538461538464,0.6778846153846154,0.5567375886524822,0.10977564102564102,0.555952380952381,0.6666666666666666,0.3359740970167653
0.5,0.04,0.32532051282051283,0.6746794871794872,0.5546318289786223,0.023237179487179488,0.5543608124253285,0.6,0.3655033951758711
0.51,0.04,0.3541666666666667,0.6458333333333334,0.5545905707196029,0.004807692307692308,0.5548628428927681,0.5,0.3564510909763314
0.52,0.04,0.47676282051282054,0.5232371794871795,0.557427258805513,0.003205128205128205,0.5576036866359447,0.5,0.29073183760683763
0.53,0.04,0.6290064102564102,0.37099358974358976,0.572354211663067,0.0016025641025641025,0.5714285714285714,1.0,0.21199945553911903
0.54,0.04,0.7532051282051282,0.2467948717948718,0.5876623376623377,0.0,0.5876623376623377,0.0,0.1450320512820513
0.55,0.04,0.8301282051282052,0.16987179487179488,0.5943396226415094,0.0,0.5943396226415094,0.0,0.10096153846153846
0.56,0.04,0.8838141025641025,0.11618589743589744,0.5862068965517241,0.0,0.5862068965517241,0.0,0.06810897435897435
