feature,lag,importance
returns,15,0.048994652926921844
log_returns,15,0.049649640917778015
volatility,15,0.04331773892045021
range,15,0.046452175825834274
volume,15,0.049762628972530365
ema_diff,15,0.05211110785603523
rsi_14,15,0.04278188198804855
returns,14,0.048751845955848694
log_returns,14,0.04450845718383789
volatility,14,0.048943955451250076
range,14,0.04682299122214317
volume,14,0.046305183321237564
ema_diff,14,0.05042868107557297
rsi_14,14,0.050186771899461746
returns,13,0.048759303987026215
log_returns,13,0.051450882107019424
volatility,13,0.048077646642923355
range,13,0.040164753794670105
volume,13,0.0477638877928257
ema_diff,13,0.05290141701698303
rsi_14,13,0.042668625712394714
returns,12,0.04905093088746071
log_returns,12,0.04833628609776497
volatility,12,0.041736532002687454
range,12,0.044249337166547775
volume,12,0.04796166345477104
ema_diff,12,0.04447121545672417
rsi_14,12,0.05382990092039108
returns,11,0.05080803483724594
log_returns,11,0.04209362342953682
volatility,11,0.04262441024184227
range,11,0.04678431153297424
volume,11,0.051744453608989716
ema_diff,11,0.04497997835278511
rsi_14,11,0.04785536602139473
returns,10,0.05213884264230728
log_returns,10,0.0449640192091465
volatility,10,0.0486442930996418
range,10,0.04961865022778511
volume,10,0.04648003727197647
ema_diff,10,0.049897003918886185
rsi_14,10,0.04695332050323486
returns,9,0.05059576779603958
log_returns,9,0.0451158732175827
volatility,9,0.043507665395736694
range,9,0.04671337082982063
volume,9,0.04429356008768082
ema_diff,9,0.04155667871236801
rsi_14,9,0.04465719312429428
returns,8,0.04280075803399086
log_returns,8,0.049765825271606445
volatility,8,0.04891686886548996
range,8,0.047484856098890305
volume,8,0.050862666219472885
ema_diff,8,0.0460139699280262
rsi_14,8,0.05215318128466606
returns,7,0.045491788536310196
log_returns,7,0.03723350539803505
volatility,7,0.042761024087667465
range,7,0.04403241351246834
volume,7,0.048889532685279846
ema_diff,7,0.0429675355553627
rsi_14,7,0.05070992186665535
returns,6,0.05152195692062378
log_returns,6,0.042195700109004974
volatility,6,0.052555713802576065
range,6,0.0491790771484375
volume,6,0.04958956316113472
ema_diff,6,0.052057959139347076
rsi_14,6,0.04611186683177948
returns,5,0.051914069801568985
log_returns,5,0.045826271176338196
volatility,5,0.053284283727407455
range,5,0.044361114501953125
volume,5,0.04527699574828148
ema_diff,5,0.04617732763290405
rsi_14,5,0.04815869405865669
returns,4,0.04771704599261284
log_returns,4,0.04446721822023392
volatility,4,0.047115862369537354
range,4,0.048873670399188995
volume,4,0.047667600214481354
ema_diff,4,0.04621962085366249
rsi_14,4,0.04713224619626999
returns,3,0.04386287182569504
log_returns,3,0.050432391464710236
volatility,3,0.04738842323422432
range,3,0.046504221856594086
volume,3,0.04801815748214722
ema_diff,3,0.05075353756546974
rsi_14,3,0.04568939283490181
returns,2,0.047229789197444916
log_returns,2,0.05156973376870155
volatility,2,0.045600228011608124
range,2,0.05080027133226395
volume,2,0.04535895213484764
ema_diff,2,0.04723091423511505
rsi_14,2,0.04766574874520302
returns,1,0.04847707226872444
log_returns,1,0.04801495373249054
volatility,1,0.047072604298591614
range,1,0.04779018461704254
volume,1,0.04860151186585426
ema_diff,1,0.04874051362276077
rsi_14,1,0.05127805471420288
returns,0,0.04368803650140762
log_returns,0,0.04793719947338104
volatility,0,0.04834011569619179
range,0,0.04552638530731201
volume,0,0.0487879142165184
ema_diff,0,0.04701261967420578
rsi_14,0,0.053854938596487045
