episode,reward,hold_rate,accuracy,entropy,grad_norm,delta_weight_norm,weight_norm
1,0.007000000000000019,0.46,0.5277777777777778,0.6892108917236328,0.08602256025692999,0.10107260942459106,6.653082370758057
2,-0.061000000000000006,0.42,0.46551724137931033,0.6814297437667847,0.37815758036439673,0.0759485736489296,6.652540683746338
3,-0.12349999999999998,0.47,0.4056603773584906,0.6844027042388916,1.167763988499742,0.06242302805185318,6.652827739715576
4,-0.06949999999999998,0.39,0.45901639344262296,0.6832391023635864,0.346178660151586,0.05196144059300423,6.653412342071533
5,-0.05099999999999999,0.42,0.47413793103448276,0.6826594471931458,0.019994234757634458,0.043850481510162354,6.654247283935547
6,-0.027249999999999986,0.445,0.4954954954954955,0.6775491237640381,0.14777240192420904,0.03839821368455887,6.655027866363525
7,0.022000000000000033,0.36,0.53125,0.6805028915405273,0.9900181122665038,0.03583548218011856,6.655918598175049
8,-0.13149999999999998,0.43,0.40350877192982454,0.6770354509353638,1.0094134913191748,0.04091129079461098,6.657118797302246
9,-0.028999999999999977,0.38,0.49193548387096775,0.6755399703979492,0.176900995728413,0.036132968962192535,6.658332347869873
10,-0.021499999999999977,0.43,0.5,0.668597936630249,0.3060936419015972,0.03515226021409035,6.659732341766357
11,-0.1175,0.35,0.4230769230769231,0.6525331735610962,0.4031634601175214,0.032065797597169876,6.660919189453125
12,-0.042249999999999996,0.345,0.48091603053435117,0.6514078974723816,0.11977976177239545,0.029318176209926605,6.662205219268799
13,-0.016,0.32,0.5,0.6420037746429443,0.1302458040170881,0.02683993987739086,6.663510322570801
14,-0.08024999999999999,0.305,0.45323741007194246,0.6357936263084412,0.3255666936803721,0.023922216147184372,6.664558410644531
15,0.04075000000000001,0.285,0.5384615384615384,0.6310844421386719,1.3724833767821465,0.02959538623690605,6.666131019592285
16,-0.07324999999999998,0.365,0.4566929133858268,0.6647289991378784,0.17947773849407334,0.02844107523560524,6.667598724365234
17,-0.040749999999999995,0.315,0.48175182481751827,0.6053488850593567,0.141519068301835,0.025022786110639572,6.668904781341553
18,-0.16474999999999998,0.395,0.38016528925619836,0.6279031038284302,2.44183647613068,0.03521345555782318,6.670828819274902
19,0.05725000000000002,0.355,0.5581395348837209,0.6262099146842957,0.9863879212876618,0.029347317293286324,6.672291278839111
20,-0.00924999999999999,0.285,0.5034965034965035,0.5756871104240417,0.5531004967100204,0.024358268827199936,6.673418998718262
21,0.036500000000000005,0.27,0.5342465753424658,0.5742367506027222,0.3637082416897105,0.021545102819800377,6.674316883087158
22,-0.08675000000000001,0.235,0.45098039215686275,0.5792602896690369,1.374724670955201,0.02123311161994934,6.674591541290283
23,-0.007249999999999979,0.245,0.5033112582781457,0.5373119115829468,0.5050991841022442,0.02194097824394703,6.674570083618164
24,-0.045249999999999985,0.205,0.4779874213836478,0.5470119118690491,0.23025650544335732,0.019475743174552917,6.674700736999512
25,-0.05299999999999999,0.26,0.47297297297297297,0.6070179343223572,0.43985622760867377,0.018876194953918457,6.674692630767822
26,-0.06449999999999999,0.29,0.4647887323943662,0.5932928323745728,0.12056578011452097,0.01758395880460739,6.674747467041016
27,-0.10999999999999996,0.2,0.4375,0.54503333568573,0.7398202538600972,0.021193232387304306,6.674502849578857
28,-0.061499999999999985,0.23,0.4675324675324675,0.5466539859771729,0.11878272188469557,0.020261237397789955,6.674239158630371
29,-0.11399999999999996,0.28,0.4305555555555556,0.582566499710083,0.4149259388548921,0.021507274359464645,6.674145221710205
30,-0.103,0.26,0.4391891891891892,0.58721923828125,0.0657006056788648,0.019595060497522354,6.674138069152832
31,-0.05774999999999999,0.255,0.4697986577181208,0.5995136499404907,0.2588274909944963,0.017963919788599014,6.674266815185547
32,-0.05199999999999999,0.24,0.47368421052631576,0.5550748109817505,0.06626406371436576,0.016328204423189163,6.674429416656494
33,-0.01499999999999999,0.3,0.5,0.6198549866676331,0.32098281262632306,0.016808506101369858,6.674777984619141
34,-0.035999999999999976,0.32,0.4852941176470588,0.6003365516662598,0.24302115137402053,0.016130860894918442,6.675061225891113
35,0.0002499999999999969,0.295,0.5106382978723404,0.6247391104698181,0.37309574635755544,0.015688173472881317,6.675378799438477
36,-0.04649999999999998,0.33,0.47761194029850745,0.6341598033905029,0.20531925477643012,0.0153177659958601,6.675711154937744
37,-0.13699999999999996,0.34,0.4090909090909091,0.6371049880981445,0.2324754841357358,0.017608122900128365,6.676031112670898
38,0.003999999999999995,0.32,0.5147058823529411,0.6046815514564514,1.1533601804412343,0.025430383160710335,6.676037788391113
39,-0.005499999999999988,0.31,0.5072463768115942,0.6131970882415771,0.018204074765547168,0.023188475519418716,6.676131725311279
40,-0.09249999999999999,0.25,0.44666666666666666,0.6074959635734558,0.8773941379429242,0.02560480684041977,6.676000595092773
41,-0.03875000000000001,0.275,0.4827586206896552,0.6395935416221619,0.05807182837287705,0.023588204756379128,6.6759514808654785
42,-0.055249999999999994,0.405,0.47058823529411764,0.6547611951828003,0.06321180143448024,0.022943468764424324,6.6759514808654785
43,-0.10149999999999997,0.43,0.4298245614035088,0.6489707827568054,1.1298961598746526,0.0180239025503397,6.676283359527588
44,-0.05224999999999999,0.345,0.4732824427480916,0.6420580148696899,0.0070791208900861016,0.01643083058297634,6.67663049697876
45,-0.12075,0.315,0.4233576642335766,0.6405669450759888,0.7722974391811318,0.02043198235332966,6.676936149597168
46,0.02350000000000001,0.33,0.5298507462686567,0.6500287652015686,0.4090122030380152,0.018144086003303528,6.6772847175598145
47,-0.08700000000000001,0.34,0.44696969696969696,0.6385622620582581,0.13709321996776955,0.01931803859770298,6.67782735824585
48,-0.016250000000000007,0.425,0.5043478260869565,0.6480140686035156,1.4749063228776849,0.02543756552040577,6.678042411804199
49,-0.08174999999999999,0.335,0.45112781954887216,0.6563554406166077,0.042656428169459144,0.023311886936426163,6.678313255310059
50,-0.10024999999999999,0.305,0.43884892086330934,0.6616266369819641,1.3007953325468007,0.03248853236436844,6.6785101890563965
