feature,lag,importance
returns,15,0.0303507000207901
log_returns,15,0.03053436428308487
volatility,15,0.028824355453252792
volatility_20,15,0.028627505525946617
range,15,0.029237406328320503
body,15,0.02790370024740696
upper_wick,15,0.0280932430177927
lower_wick,15,0.03232165053486824
volume,15,0.027081258594989777
volume_change,15,0.028239866718649864
volume_zscore_20,15,0.02810482494533062
sma_5,15,0.029085787013173103
sma_20,15,0.027016310021281242
ema_12,15,0.029496895149350166
ema_26,15,0.027864715084433556
ema_diff,15,0.027350379154086113
rsi_14,15,0.02753155492246151
roc_5,15,0.028745576739311218
momentum_10,15,0.027182625606656075
atr_14,15,0.02916216477751732
returns,14,0.03093341551721096
log_returns,14,0.027512870728969574
volatility,14,0.02748488076031208
volatility_20,14,0.02864411287009716
range,14,0.025216473266482353
body,14,0.02842750959098339
upper_wick,14,0.02873614989221096
lower_wick,14,0.028584571555256844
volume,14,0.030944261699914932
volume_change,14,0.028496604412794113
volume_zscore_20,14,0.03220520168542862
sma_5,14,0.026912299916148186
sma_20,14,0.029251229017972946
ema_12,14,0.024970749393105507
ema_26,14,0.030210761353373528
ema_diff,14,0.029933219775557518
rsi_14,14,0.02975589968264103
roc_5,14,0.028283335268497467
momentum_10,14,0.0310515183955431
atr_14,14,0.028612451627850533
returns,13,0.029466984793543816
log_returns,13,0.029376056045293808
volatility,13,0.031291089951992035
volatility_20,13,0.02944440394639969
range,13,0.030566947534680367
body,13,0.02909010834991932
upper_wick,13,0.026952628046274185
lower_wick,13,0.02804928459227085
volume,13,0.029916414991021156
volume_change,13,0.028622470796108246
volume_zscore_20,13,0.030620930716395378
sma_5,13,0.02790757082402706
sma_20,13,0.02984486147761345
ema_12,13,0.029718909412622452
ema_26,13,0.030712556093931198
ema_diff,13,0.029744602739810944
rsi_14,13,0.028908615931868553
roc_5,13,0.028068426996469498
momentum_10,13,0.028426365926861763
atr_14,13,0.03167935833334923
returns,12,0.026440605521202087
log_returns,12,0.030499344691634178
volatility,12,0.027254991233348846
volatility_20,12,0.0284474715590477
range,12,0.028273405507206917
body,12,0.027111804112792015
upper_wick,12,0.03133929893374443
lower_wick,12,0.030032875016331673
volume,12,0.025115985423326492
volume_change,12,0.029205774888396263
volume_zscore_20,12,0.029312413185834885
sma_5,12,0.028819594532251358
sma_20,12,0.027672814205288887
ema_12,12,0.03140026703476906
ema_26,12,0.029327403753995895
ema_diff,12,0.02779305912554264
rsi_14,12,0.027209043502807617
roc_5,12,0.02892281860113144
momentum_10,12,0.02838701568543911
atr_14,12,0.028975510969758034
returns,11,0.027172524482011795
log_returns,11,0.02716081589460373
volatility,11,0.028115523979067802
volatility_20,11,0.029333284124732018
range,11,0.028132708743214607
body,11,0.025995682924985886
upper_wick,11,0.029745349660515785
lower_wick,11,0.03114616684615612
volume,11,0.03347962722182274
volume_change,11,0.03090566210448742
volume_zscore_20,11,0.030149556696414948
sma_5,11,0.02839352935552597
sma_20,11,0.026389645412564278
ema_12,11,0.03002285026013851
ema_26,11,0.030626725405454636
ema_diff,11,0.03093172051012516
rsi_14,11,0.028463803231716156
roc_5,11,0.02847658470273018
momentum_10,11,0.026943055912852287
atr_14,11,0.028961792588233948
returns,10,0.02884538285434246
log_returns,10,0.027036620303988457
volatility,10,0.030585268512368202
volatility_20,10,0.028490569442510605
range,10,0.028611360117793083
body,10,0.03018897958099842
