feature,importance
atr_14,0.028948828694410622
body,0.028580718208104372
ema_12,0.028675244539044797
ema_26,0.029210224049165845
ema_diff,0.028391742729581892
log_returns,0.028425752418115735
lower_wick,0.029909907723776996
momentum_10,0.028691019862890244
range,0.028495523030869663
returns,0.029360872344113886
roc_5,0.029418688151054084
rsi_14,0.02897333982400596
sma_20,0.028119618888013065
sma_5,0.028793033445253968
upper_wick,0.029133870732039213
volatility,0.02874889224767685
volatility_20,0.028373402426950634
volume,0.028992703068070114
volume_change,0.029290784965269268
volume_zscore_20,0.029069308191537857
