episode,reward,hold_rate,accuracy,entropy,grad_norm,delta_weight_norm,weight_norm
1,-0.4305,0.435,0.48672566371681414,0.6878635883331299,3.479591150224565,0.10670902580022812,9.299857139587402
2,-0.429,0.48,0.4807692307692308,0.6877545118331909,3.9431548736135142,0.07452735304832458,9.300554275512695
3,-0.18899999999999997,0.43,0.631578947368421,0.689261794090271,1.7192417721148978,0.059647589921951294,9.301504135131836
4,-0.348,0.46,0.5370370370370371,0.6898847818374634,1.687832886750994,0.05040080472826958,9.302616119384766
5,-0.355,0.5,0.53,0.6899279356002808,2.108641569639859,0.044499918818473816,9.303608894348145
6,-0.2475,0.475,0.6,0.6891418099403381,1.1285516905667972,0.03929712623357773,9.304503440856934
7,-0.4014999999999999,0.455,0.5045871559633027,0.6886834502220154,1.3654161464903058,0.03679554909467697,9.305426597595215
8,-0.5095000000000001,0.465,0.3925233644859813,0.6837050318717957,2.7414048832366262,0.03603871166706085,9.306573867797852
9,-0.35649999999999993,0.455,0.5321100917431193,0.6875346899032593,0.529615791787045,0.032528966665267944,9.307738304138184
10,-0.313,0.41,0.559322033898305,0.687851071357727,0.5365936211377803,0.029001034796237946,9.308839797973633
11,-0.29849999999999993,0.445,0.5675675675675675,0.6871966123580933,0.2743320567328911,0.025899259373545647,9.309884071350098
12,-0.319,0.53,0.5531914893617021,0.6885757446289062,1.7116731898047148,0.026502029970288277,9.310873985290527
13,-0.3975,0.475,0.5047619047619047,0.687646746635437,1.2689240347668727,0.025639839470386505,9.311976432800293
14,-0.375,0.4,0.525,0.6757748126983643,0.42158015106290825,0.023256177082657814,9.312989234924316
15,-0.37799999999999995,0.46,0.5185185185185185,0.6879204511642456,0.4511820073524644,0.021464113146066666,9.313945770263672
16,-0.5159999999999999,0.52,0.4166666666666667,0.6879182457923889,2.154869326732867,0.02421196550130844,9.314995765686035
17,-0.4775,0.425,0.4608695652173913,0.6776014566421509,1.0507401295429746,0.023990103974938393,9.316015243530273
18,-0.3314999999999999,0.505,0.5454545454545454,0.6851220726966858,0.4152881252399352,0.022452982142567635,9.317018508911133
19,-0.4105,0.385,0.5040650406504065,0.679474949836731,1.0103819984595823,0.020086556673049927,9.317848205566406
20,-0.35450000000000004,0.465,0.5327102803738317,0.6822253465652466,0.0002489961527707326,0.018267052248120308,9.31864070892334
21,-0.4675,0.425,0.46956521739130436,0.6845030784606934,0.9823388927989645,0.018143976107239723,9.319323539733887
22,-0.27,0.4,0.5833333333333334,0.6801957488059998,0.30415760014917453,0.01700757071375847,9.320023536682129
23,-0.44,0.45,0.4818181818181818,0.678851306438446,0.8186734600625806,0.016691740602254868,9.3207426071167
24,-0.30599999999999994,0.42,0.5603448275862069,0.6763279438018799,0.29193361555091635,0.015170152299106121,9.321414947509766
25,-0.311,0.42,0.5603448275862069,0.676957368850708,0.49800833609187706,0.015135718509554863,9.3220796585083
26,-0.25799999999999995,0.41,0.5847457627118644,0.6519732475280762,1.0854095615397714,0.014956088736653328,9.32243824005127
27,-0.39149999999999996,0.405,0.5126050420168067,0.6796789169311523,0.3239636374373358,0.014064367860555649,9.322762489318848
28,-0.32199999999999995,0.44,0.5535714285714286,0.6798834800720215,1.9563662443183778,0.020640498027205467,9.323156356811523
29,-0.393,0.46,0.5092592592592593,0.6790977120399475,0.45176254854377373,0.019418884068727493,9.323596000671387
30,-0.3245,0.465,0.5514018691588785,0.681156575679779,0.008773497126309066,0.017706885933876038,9.324033737182617
31,-0.373,0.41,0.5254237288135594,0.6810784935951233,0.605886868884816,0.016883976757526398,9.324434280395508
32,-0.38599999999999995,0.42,0.5172413793103449,0.6804093718528748,0.6818383540962363,0.017768830060958862,9.324851989746094
33,-0.384,0.43,0.5175438596491229,0.6782414317131042,0.8866023283558528,0.018218399956822395,9.32535457611084
34,-0.418,0.41,0.5,0.6792409420013428,0.29675957277261306,0.017228582873940468,9.325841903686523
35,-0.551,0.42,0.4224137931034483,0.6782328486442566,1.7065884648774992,0.021876737475395203,9.326568603515625
36,-0.3845,0.465,0.514018691588785,0.6679987907409668,0.2185884698573744,0.019728457555174828,9.327241897583008
37,-0.32799999999999996,0.41,0.5508474576271186,0.664273202419281,0.08855265863235182,0.0179317407310009,9.327877044677734
38,-0.46149999999999997,0.355,0.4806201550387597,0.6467361450195312,1.0289097412023727,0.019280899316072464,9.328408241271973
39,-0.48,0.4,0.4666666666666667,0.6781509518623352,0.44203583416982645,0.018360689282417297,9.328882217407227
40,-0.3105,0.435,0.5575221238938053,0.67365562915802,0.3249262988203,0.016825862228870392,9.329360008239746
