feature,lag,importance
returns,31,0.03806254640221596
log_returns,31,0.03339826315641403
volatility,31,0.02928990125656128
volatility_20,31,0.03711015731096268
range,31,0.0317578949034214
volume_zscore_20,31,0.03297415375709534
atr_14,31,0.03856905177235603
returns,30,0.03862365707755089
log_returns,30,0.0312232356518507
volatility,30,0.031085696071386337
volatility_20,30,0.04028148949146271
range,30,0.027327800169587135
volume_zscore_20,30,0.034359272569417953
atr_14,30,0.03518921136856079
returns,29,0.037148792296648026
log_returns,29,0.03225734457373619
volatility,29,0.03770183026790619
volatility_20,29,0.03454689309000969
range,29,0.029175100848078728
volume_zscore_20,29,0.030437173321843147
atr_14,29,0.031718648970127106
returns,28,0.030742241069674492
log_returns,28,0.03479674458503723
volatility,28,0.03412320837378502
volatility_20,28,0.031373031437397
range,28,0.032437942922115326
volume_zscore_20,28,0.03184022009372711
atr_14,28,0.03433096036314964
returns,27,0.03138953074812889
log_returns,27,0.03522244840860367
volatility,27,0.030348632484674454
volatility_20,27,0.03260186314582825
range,27,0.03398957848548889
volume_zscore_20,27,0.028900427743792534
atr_14,27,0.03603325039148331
returns,26,0.03461335226893425
log_returns,26,0.03502878546714783
volatility,26,0.036971092224121094
volatility_20,26,0.029473453760147095
range,26,0.030794266611337662
volume_zscore_20,26,0.033944714814424515
atr_14,26,0.03557373955845833
returns,25,0.03439809009432793
log_returns,25,0.035321757197380066
volatility,25,0.03140604868531227
volatility_20,25,0.034722112119197845
range,25,0.03299560397863388
volume_zscore_20,25,0.03176072612404823
atr_14,25,0.03362533450126648
returns,24,0.03543363884091377
log_returns,24,0.035721633583307266
volatility,24,0.03152333199977875
volatility_20,24,0.0319848358631134
range,24,0.03815425559878349
volume_zscore_20,24,0.0341174490749836
atr_14,24,0.03529759496450424
returns,23,0.03620992973446846
log_returns,23,0.03094097040593624
volatility,23,0.031022274866700172
volatility_20,23,0.03737078234553337
range,23,0.031796012073755264
volume_zscore_20,23,0.03395616635680199
atr_14,23,0.033648762851953506
returns,22,0.033343780785799026
log_returns,22,0.031097596511244774
volatility,22,0.035692136734724045
volatility_20,22,0.03626243397593498
range,22,0.03536909818649292
volume_zscore_20,22,0.03386041149497032
atr_14,22,0.029558442533016205
returns,21,0.039255786687135696
log_returns,21,0.0341704860329628
volatility,21,0.03065754845738411
volatility_20,21,0.03517138212919235
range,21,0.028279971331357956
volume_zscore_20,21,0.03528442978858948
atr_14,21,0.034847192466259
returns,20,0.03708013892173767
log_returns,20,0.031498465687036514
volatility,20,0.031068159267306328
volatility_20,20,0.03293060511350632
range,20,0.03104730322957039
volume_zscore_20,20,0.032935161143541336
atr_14,20,0.03158314898610115
returns,19,0.03387966379523277
log_returns,19,0.03405129909515381
volatility,19,0.03368527442216873
volatility_20,19,0.029014043509960175
range,19,0.03629256784915924
volume_zscore_20,19,0.030118275433778763
atr_14,19,0.03234430029988289
returns,18,0.03096761740744114
log_returns,18,0.03153982758522034
volatility,18,0.03748380020260811
volatility_20,18,0.03221191465854645
range,18,0.03080291673541069
volume_zscore_20,18,0.034025076776742935
atr_14,18,0.029132671654224396
returns,17,0.03252553194761276
log_returns,17,0.034058138728141785
volatility,17,0.03433993458747864
volatility_20,17,0.030608993023633957
range,17,0.030355103313922882
volume_zscore_20,17,0.03537876904010773
atr_14,17,0.031050030142068863
returns,16,0.03132821246981621
log_returns,16,0.031246336176991463
volatility,16,0.029651151970028877
volatility_20,16,0.03127392381429672
range,16,0.03776419907808304
