feature,lag,importance
returns,15,0.04629509523510933
log_returns,15,0.04452677071094513
volatility,15,0.04410808905959129
range,15,0.05064517632126808
volume,15,0.04536205157637596
ema_diff,15,0.04556260630488396
rsi_14,15,0.04960481822490692
returns,14,0.0505409836769104
log_returns,14,0.047668855637311935
volatility,14,0.0490494929254055
range,14,0.050332922488451004
volume,14,0.041698187589645386
ema_diff,14,0.047724369913339615
rsi_14,14,0.04723406955599785
returns,13,0.052888162434101105
log_returns,13,0.045394256711006165
volatility,13,0.04698231816291809
range,13,0.048220958560705185
volume,13,0.04592639580368996
ema_diff,13,0.043427176773548126
rsi_14,13,0.04966488108038902
returns,12,0.045115504413843155
log_returns,12,0.04949285462498665
volatility,12,0.04818828031420708
range,12,0.04711077734827995
volume,12,0.04768265411257744
ema_diff,12,0.04959729686379433
rsi_14,12,0.04863044619560242
returns,11,0.04676543548703194
log_returns,11,0.046782854944467545
volatility,11,0.046825312077999115
range,11,0.04864070564508438
volume,11,0.047680485993623734
ema_diff,11,0.04552405700087547
rsi_14,11,0.050295088440179825
returns,10,0.04818916320800781
log_returns,10,0.04969489946961403
volatility,10,0.05004308372735977
range,10,0.04400916397571564
volume,10,0.044002559036016464
ema_diff,10,0.045322779566049576
rsi_14,10,0.047262564301490784
returns,9,0.050492096692323685
log_returns,9,0.04907464236021042
volatility,9,0.045153841376304626
range,9,0.05096033215522766
volume,9,0.048480477184057236
ema_diff,9,0.044072430580854416
rsi_14,9,0.04409940913319588
returns,8,0.04669245705008507
log_returns,8,0.04787003621459007
volatility,8,0.04819933697581291
range,8,0.04806746914982796
volume,8,0.04888428375124931
ema_diff,8,0.04897330701351166
rsi_14,8,0.052598316222429276
returns,7,0.0485844649374485
log_returns,7,0.04561895504593849
volatility,7,0.04668488726019859
range,7,0.05096277594566345
volume,7,0.047432418912649155
ema_diff,7,0.04873184487223625
rsi_14,7,0.04869718849658966
returns,6,0.051728181540966034
log_returns,6,0.04331904277205467
volatility,6,0.04797504469752312
range,6,0.04875752702355385
volume,6,0.0530221201479435
ema_diff,6,0.04709161818027496
rsi_14,6,0.04225721210241318
returns,5,0.04941914603114128
log_returns,5,0.048578083515167236
volatility,5,0.044455286115407944
range,5,0.04815315082669258
volume,5,0.045631203800439835
ema_diff,5,0.04647620767354965
rsi_14,5,0.048717573285102844
returns,4,0.050354015082120895
log_returns,4,0.0472913421690464
volatility,4,0.04680081829428673
range,4,0.04805157706141472
volume,4,0.04763037711381912
ema_diff,4,0.05074777826666832
rsi_14,4,0.041184522211551666
returns,3,0.04818401485681534
log_returns,3,0.048232562839984894
volatility,3,0.044596992433071136
range,3,0.046111829578876495
volume,3,0.04788681119680405
ema_diff,3,0.047274570912122726
rsi_14,3,0.04661539942026138
returns,2,0.04517356678843498
log_returns,2,0.0472136065363884
volatility,2,0.050280164927244186
range,2,0.04484352096915245
volume,2,0.04624892771244049
ema_diff,2,0.04475009813904762
rsi_14,2,0.04328317195177078
returns,1,0.048268646001815796
log_returns,1,0.04760720208287239
volatility,1,0.04738308861851692
range,1,0.0466889813542366
volume,1,0.047928135842084885
ema_diff,1,0.04718650132417679
rsi_14,1,0.047517046332359314
returns,0,0.0443759448826313
log_returns,0,0.04412929341197014
volatility,0,0.042555537074804306
range,0,0.045682623982429504
volume,0,0.05102061480283737
ema_diff,0,0.04954425245523453
rsi_14,0,0.04661136493086815
