net.0.weight,net.2.weight,net.4.weight
4.629995346069336,4.607942581176758,0.8078341484069824
4.663331985473633,4.584674835205078,0.8248430490493774
4.725708484649658,4.585092067718506,0.8615551590919495
4.796652793884277,4.597249984741211,0.898166298866272
4.879698753356934,4.637749195098877,0.9526426196098328
4.978546142578125,4.687267780303955,1.0234721899032593
5.09048318862915,4.764463424682617,1.1038243770599365
5.213752269744873,4.84623384475708,1.1918054819107056
5.342344284057617,4.9365339279174805,1.2861465215682983
5.477006435394287,5.033143043518066,1.386519193649292
5.605165958404541,5.1322855949401855,1.483874797821045
5.738507270812988,5.235837459564209,1.6004456281661987
