episode,reward,hold_rate,accuracy,entropy,grad_norm,delta_weight_norm,weight_norm
1,-0.4690000000000001,0.46,0.49074074074074076,0.6903016567230225,3.2025192110640814,0.10671897232532501,9.30154037475586
2,-0.41600000000000004,0.465,0.5233644859813084,0.6873455047607422,5.264002523375028,0.07661496102809906,9.30237102508545
3,-0.45000000000000007,0.5,0.5,0.6917536854743958,3.076010899195466,0.06177244707942009,9.302948951721191
4,-0.491,0.465,0.4766355140186916,0.6918989419937134,3.366550354393583,0.05398804321885109,9.303727149963379
5,-0.392,0.48,0.5384615384615384,0.692428708076477,1.5583331038150905,0.0457133874297142,9.3046875
6,-0.344,0.51,0.5714285714285714,0.6919703483581543,1.103937829943556,0.03925095871090889,9.305615425109863
7,-0.528,0.47,0.4528301886792453,0.6918370127677917,2.334809942300339,0.03670143708586693,9.306570053100586
8,-0.5,0.525,0.45263157894736844,0.6924771666526794,2.026819117212483,0.03404424339532852,9.307523727416992
9,-0.39000000000000007,0.45,0.5272727272727272,0.6922207474708557,0.9649342127888542,0.031712837517261505,9.30854606628418
10,-0.533,0.495,0.44554455445544555,0.6922970414161682,1.0142983481936145,0.027969811111688614,9.309447288513184
11,-0.468,0.47,0.49056603773584906,0.6886175274848938,1.945194787226607,0.02728528156876564,9.310319900512695
12,-0.43800000000000006,0.47,0.5094339622641509,0.6915062069892883,0.5446477816050204,0.025321705266833305,9.311200141906738
13,-0.49400000000000005,0.51,0.46938775510204084,0.6822670102119446,2.553182773988893,0.026492780074477196,9.312077522277832
14,-0.5800000000000001,0.5,0.41,0.6812139749526978,3.3412990278464956,0.028774239122867584,9.312929153442383
15,-0.43,0.475,0.5142857142857142,0.6874657273292542,1.2841162754691513,0.02658437378704548,9.313702583312988
16,-0.517,0.58,0.44047619047619047,0.689469575881958,1.5971166184128054,0.02391442283987999,9.314310073852539
17,-0.43300000000000005,0.52,0.5104166666666666,0.6890403628349304,0.48961448729367635,0.02204982191324234,9.314918518066406
18,-0.4,0.55,0.5333333333333333,0.6906468272209167,0.14647811693082094,0.019993025809526443,9.315520286560059
19,-0.26,0.575,0.6352941176470588,0.6896700859069824,1.1314418898805667,0.01931649073958397,9.316208839416504
20,-0.516,0.54,0.44565217391304346,0.6891120076179504,1.1537035456322648,0.01853644661605358,9.31680679321289
21,-0.4130000000000001,0.495,0.5247524752475248,0.6886458396911621,0.3132402433301183,0.01691882498562336,9.317411422729492
22,-0.483,0.545,0.4725274725274725,0.6918003559112549,0.5221486529535021,0.01549667026847601,9.317975044250488
23,-0.539,0.51,0.4387755102040816,0.6854414939880371,1.9333559639327564,0.01829981617629528,9.318549156188965
24,-0.337,0.43,0.5701754385964912,0.6902846097946167,1.155967781432664,0.01762295514345169,9.319055557250977
25,-0.5,0.45,0.4727272727272727,0.6883721947669983,0.6019754416315342,0.016079925000667572,9.319555282592773
26,-0.4910000000000001,0.465,0.4766355140186916,0.6910877823829651,1.3184147593196003,0.016308151185512543,9.320175170898438
27,-0.5940000000000001,0.485,0.4077669902912621,0.6909773945808411,1.1086969447012671,0.01655660755932331,9.320843696594238
28,-0.552,0.53,0.425531914893617,0.6685980558395386,2.423733024932638,0.020421696826815605,9.321332931518555
29,-0.45100000000000007,0.565,0.4942528735632184,0.691382884979248,0.12298890302486579,0.018674606457352638,9.321828842163086
30,-0.40299999999999997,0.445,0.5315315315315315,0.6894201636314392,0.130594493696376,0.017102224752306938,9.322324752807617
31,-0.618,0.545,0.37362637362637363,0.6812411546707153,1.9745050021956676,0.02015177346765995,9.322797775268555
32,-0.5470000000000002,0.58,0.4166666666666667,0.6792603135108948,0.5327667881779081,0.01873670145869255,9.323238372802734
33,-0.548,0.495,0.43564356435643564,0.6834986805915833,0.6455815857033588,0.017874818295240402,9.32368278503418
34,-0.508,0.52,0.4583333333333333,0.6866689920425415,0.47700093606795774,0.016615379601716995,9.324087142944336
35,-0.554,0.435,0.4424778761061947,0.689365804195404,0.6260236835142244,0.015276736579835415,9.324483871459961
36,-0.39,0.5,0.54,0.6887272596359253,0.6109638934318603,0.014417078346014023,9.324828147888184
37,-0.503,0.495,0.46534653465346537,0.688465416431427,0.12341247545917577,0.013111419975757599,9.325155258178711
38,-0.467,0.48,0.49038461538461536,0.6889795660972595,0.28079329488597543,0.01213644165545702,9.32547378540039
39,-0.597,0.53,0.39361702127659576,0.682230532169342,2.0106538272968417,0.016391612589359283,9.32571792602539
40,-0.5260000000000001,0.415,0.46153846153846156,0.6890084147453308,0.270645831061564,0.014934168197214603,9.325987815856934
41,-0.398,0.495,0.5346534653465347,0.6886866092681885,0.9542443194868322,0.014986507594585419,9.326214790344238
42,-0.4860000000000001,0.615,0.42857142857142855,0.6750520467758179,0.17995087695036066,0.013674948364496231,9.326419830322266
43,-0.5630000000000002,0.57,0.4069767441860465,0.6908782124519348,0.8900943744007074,0.013683569617569447,9.326544761657715
44,-0.543,0.545,0.42857142857142855,0.6894569396972656,0.6237307684364234,0.013489090837538242,9.326662063598633
45,-0.4860000000000001,0.465,0.4766355140186916,0.6848790645599365,0.02487588924245033,0.012235601432621479,9.326786041259766
46,-0.49900000000000005,0.535,0.46236559139784944,0.6877983212471008,0.28290075150905686,0.01143551990389824,9.326940536499023
47,-0.514,0.485,0.4563106796116505,0.688170313835144,0.4948616697356659,0.011562037281692028,9.327132225036621
48,-0.47600000000000003,0.54,0.4782608695652174,0.6787324547767639,0.9021648616622815,0.012640620581805706,9.327336311340332
49,-0.519,0.435,0.46017699115044247,0.6804172396659851,0.8161444277792013,0.011599252000451088,9.327550888061523
50,-0.5160000000000001,0.44,0.4642857142857143,0.6790940165519714,0.03213203706009706,0.010544959455728531,9.327757835388184
